timestamp,value
2025-07-19 16:13:43,7
2025-07-19 16:13:53,6
2025-07-19 16:14:03,6
2025-07-19 16:14:13,6
2025-07-19 16:14:23,7
2025-07-19 16:14:33,6
2025-07-19 16:14:43,6
2025-07-19 16:14:53,7
2025-07-19 16:15:03,6
2025-07-19 16:21:29,6
2025-07-19 16:21:39,6
2025-07-19 16:21:49,6
2025-07-19 16:21:59,6
2025-07-19 16:22:09,6
2025-07-19 16:22:19,6
2025-07-19 16:22:44,6
2025-07-19 16:22:54,6
2025-07-19 16:23:04,7
2025-07-19 16:23:14,7
2025-07-19 16:23:24,7
2025-07-19 16:23:34,6
2025-07-19 16:23:44,6
2025-07-19 16:23:54,6
2025-07-19 16:24:04,6
2025-07-19 16:24:14,6
